,product_url,product_name,product_price,rating,number_reviews,description,product_ASIN,product_description,manufacturer
0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MTExOTE4MzgyNDkwODkwOjE2NzUzMzk2Mzk6c3BfYXRmOjIwMTA0MTQwMjYzNjk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675339639%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1%26smid%3DA385M0TPSNV7VS,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black",998.0,3.9,684,"  Laptop Compatibility: Yes, Laptop size: 15.6 inches    Outer Material: Polyester, Color: Black    Water Resistance: Water resistant    Dimensions: 33 cms x 17.5 cms x 47 cms (LxWxH)    Warranty type: Manufacturer; 12 months warranty against manufacturing defects   ",B01LXNNFDF,,Backpack International Pvt Ltd
1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MTExOTE4MzgyNDkwODkwOjE2NzUzMzk2Mzk6c3BfYXRmOjIwMTE1MDI0Mzk3NDk4OjowOjo&url=%2FThe-Backpack-Pro-Deep-Dive%2Fdp%2FB08SWDK9S7%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675339639%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"MOKOBARA Backpack Pro 15.6"" Inch Laptop Backpack For Men And Women (21 litre).",5990.0,4.4,223,"  Care Instructions: Wipe with Damp Cloth    CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Vegan leather and nylon fabric, Casing: Soft, Colour: Blue, Water resistant: Yes     FRONT COMPARTMENT FOR QUICK ACCESS: Keyholder, Card holder, Zipper pocket     MOST FEATURE RICH BACKPACK: Vegan leather trims, Padded shoulder straps, Easy length adjustment buckle & strap lock, Hidden expandable side water bottle pocket, Hidden magnetic passport pocket, Luggage sleeve     MORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Register warranty on (mokobara.com/warranty), get in touch with us @7975298840 (10:30AM - 5:30PM MON-FRI)     Pattern Name: Solid; Strap Type: Cross-Body; Compartment Description: Up To 16 Inches; Color Name: Deep Dive; Warranty Description: 12 Months Warranty; Age Range Description: Adult; Lining Description: Polyester    ",B08SWDK9S7,,Mokobara
2,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1675339639&sprefix=ba%2Caps%2C283&sr=8-3,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),1299.0,4.1,51353,"  Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No    Outer Material: Polyester, Color: Black    Water Resistance: Water resistant , not Waterproof    Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters    Number of Wheels: 0, Number of compartments: 3    Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of    Mesh pockets on both sides to accommodate your sipper or bottle and umbrella    Mesh Padding on back & shoulder strap to provide comfort & better back support   ",B07CJCGM1M,,Samsonite
3,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1675339639&sprefix=ba%2Caps%2C283&sr=8-4,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),565.0,4.3,9221,"  30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.    Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.    Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.    Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks    1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty    Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.   ",B084JGJ8PF,,
4,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1675339639&sprefix=ba%2Caps%2C283&sr=8-5,Skybags Brat Black 46 Cms Casual Backpack,669.0,4.1,3364,"  Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,   ",B08Z1HHHTD,"  Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack  ",VIP Industries Ltd
5,https://www.amazon.in/Kuber-Industries-Handcrafted-Embroidered-Handbag/dp/B082VDVJGM/ref=sxin_15?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B082VDVJGM&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B082VDVJGM&pd_rd_r=99a4f8fe-56e3-472c-b41d-fc8614b76ad0&pd_rd_w=sKJPn&pd_rd_wg=GWtbo&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=NNYKMZTN13QP50DQK9KJ&qid=1675339639&sprefix=ba%2Caps%2C283&sr=1-1-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,Kuber Industries Women's Handkerchief Set (Cream),312.0,3.8,472,"  PACKAGE CONTAIN: 1 Piece Embroidered Party Wear Clutch    MATERIAL: Polyester, COLOR: Cream    PRODUCT DIMENSION: 27 X 17 X 1 CM    Latest stylish party wear evening clutches for women.Bag has a detachable gold polish shoulder chain.    This Clutch has a unique design and you can use it on any occasion like parties, anniversary, wedding, etc. This hand bag makes you glamorous and unique among your friends, familiar persons.   ",B082VDVJGM,,"Kuber Industries, Kuber Industries,G-185, Bank of Baroda lane,Garment Zone, Sitapura Industrial Area , Jaipur , 302022, 91-7073942409"
6,https://www.amazon.in/Fiesto-Fashion-Womens-Handbag-FIESTO33_Blue/dp/B082Z33ZDS/ref=sxin_15?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B082Z33ZDS&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B082Z33ZDS&pd_rd_r=99a4f8fe-56e3-472c-b41d-fc8614b76ad0&pd_rd_w=sKJPn&pd_rd_wg=GWtbo&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=NNYKMZTN13QP50DQK9KJ&qid=1675339639&sprefix=ba%2Caps%2C283&sr=1-2-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,Fiesto Fashion PU Leather Handbags With Sling Bag For Women Large Shoulder Tote Purse Top Handle Satchel (Combo Of 3),615.0,3.9,4071,"  Material: Leather    Closure Type: Zip    Strap Type: Shoulder Removable Strap; Adjustable    Multi Compartments     2 Big Zipper Pocket In The Middle, 1 Small Zipper Pocket For Your Key/Card    ",B082Z33ZDS,"  Enrich your look with this handbag Fiesto Fashion available on Amazon. Fiesto Fashion offers handbags in every style, shape and color. It’s a perfect accessory for your outfits. Match it with pair of heels/sandals to give complete look.  ",Fiesto Fashion
7,https://www.amazon.in/ADISA-women-girls-black-embroided/dp/B08RWBP3H2/ref=sxin_15?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B08RWBP3H2&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B08RWBP3H2&pd_rd_r=99a4f8fe-56e3-472c-b41d-fc8614b76ad0&pd_rd_w=sKJPn&pd_rd_wg=GWtbo&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=NNYKMZTN13QP50DQK9KJ&qid=1675339639&sprefix=ba%2Caps%2C283&sr=1-3-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,ADISA women girls embroided sling bag,495.0,4.2,1412,"  Material: PU / Synthetic Leather    Closure: Zipper    Compartment: 1, Pocket: 1    Dimensions: LxWxH - 7 x 3 x 7 inch    Ideal for Women and Girls   ",B08RWBP3H2,,ADISA
8,https://www.amazon.in/Lapis-Lupo-Flower-Embroidery-Handbag/dp/B07RXYSJHF/ref=sxin_15?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B07RXYSJHF&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B07RXYSJHF&pd_rd_r=99a4f8fe-56e3-472c-b41d-fc8614b76ad0&pd_rd_w=sKJPn&pd_rd_wg=GWtbo&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=NNYKMZTN13QP50DQK9KJ&qid=1675339639&sprefix=ba%2Caps%2C283&sr=1-4-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,Lapis O Lupo Women Vegan Leather Handbags Flower Embroidered Bags Fashion Satchel Bags Top Handle,1039.0,4.2,3600,"  Inner Material: Polyester; Color: Grey; Package Contents: 1 Handbag    Dimensions: HandBag: HxLxD(CM)-27x33x13; Closure Type: Zip closure with adjustable strap    Pockets: 4 Compartment and 2 Zip Pocket    Easy to carry traveling essentials like mobile phone, keys, wallet, and other accessories.; Outer Material Type: Synthetic    Occasion Type: Casual   ",B07RXYSJHF,"  Enrich your look with this Handbag Lapis O Lupo available on Amazon. Lapis O Lupo offers handbags in every style, shape and color. It’s a perfect accessory for your outfits. Match it with pair of heels/sandals to give complete look.  ",Coalescent India
9,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1675339639&sprefix=ba%2Caps%2C283&sr=8-6,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),499.0,3.9,461,  Material: Water Resistant Light-Weight Polyester    Compartments: 2 with padding; Laptop Size: 15.6 inch and below    Dimensions: LxWxH - 12.5 x 7.5 x 19 inches    Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders    Closure Type: Zipper   ,B09TPX22NF,,ADISA
